ID	text	label
12	Produkt ist nie angekommen. Produkt ist nie angekommen Leider bekomme ich auch keine genaueren Auskünfte Habe es beanstandet passiert ist trozdem nichts schade Nicht noch mal 	0
31	Lieferung. Bis heute ist Artikel noch nicht geliefert 	0
34	Brummt laut und Fernbedienung funktioniert nicht richtig!. Brummt sehr laut und die Knöpfe der Fernbedienung sind alle falsch belegt beziehungsweise bewirken nicht die Funktion die sie eigentlich sollten. 	0
43	billiger Mist!. Ich habe die Türpuffer an einer glatten Wand angebracht und nach 2 Stunden sind sie wieder heruntergefallen! Nicht alles was billig ist muss auch gut sein!!! Überraschend ist nur dass die positiven Rezensionen ausschließlich von Personen eines kostenfreien Produkts sind!!!! 	0
50	Nicht wirklich zufrieden. Ganz schlechte Verarbeitung. Die Schicht blättert ab und benutzen kann ich diese nicht mehr. Leider. Da Kauf ich lieber etwas teureres. 	0
53	👎. Schlechte Verarbeitung und das Glätten funktioniert kaum. Ich kann vom Kauf nur abraten. 	0
56	Minderwertig. Absolut minderwertiges Produkt. 	0
57	Kaufste Billig, kaufste zweimal.. Preis/Leistungsverhältnis wäre ok, wenn es auch halten würde. Der Schlauch war eher sporatisch an (vllt. 1x in der Woche) und nach nicht mal einen halben Jahr defekt. Beim Anschalten geht er direkt wieder aus. 	0
82	Können Sie mir bitte Ersatz zu schicken. Diese wichtigen Teile sind bereits nach kurzer Zeit gebrochen 	0
85	Abgebrannt. Lebensgefährlich würde ich die Lampe nennen, 2012 gekauft, korrekt vom Elektriker montiert, gestern fliegt die Sicherung. Ich bau die Lampe ab, sehe geschmolzene Rückseite. Ich mach das Plastik auf, was darunter zu sehen ist, zeigt das Foto. Die Lampe ist unter dem Dach montiert, bekommt keinen direkten Regen ab. Ob sie gegen Kondenswasser geschützt ist, vermag ich nicht zu beurteilen. Jedenfalls bin ich froh, dass es nicht zu einem Brand gekommen ist. 	0
96	Thermometer, Wetterstation. Mit einem Wort gesagt (Schlecht). 	0
101	optisch ok, schraubfunktion nicht gut. man muss immer nachdrehen! wenn man es vergisst, kann es passieren dass es auseinander fällt, was mir leider passiert ist. 	0
114	Leider ungeeignet. Das Teesieb hat eine gute Größe für eine Tasse Tee. Allerdings ist es völlig undicht bzw. schließt nicht richtig. Der ganze Tee schwimmt folglich in der Tasse. 	0
126	WARE NIE ERHALTEN!!!!. WARE NIE ERHALTEN !!!! 	0
136	Nicht zu empfehlen!. Solarlampen waren defekt! Nach dem Aufbau, nicht ein einziges mal geleuchtet!!! Habe Umtausch veranlasst, Lieferant antwortet am fünften Tag immer noch nicht auf Umtausch! 	0
142	Fazit: Nie wieder. Nie wieder ! Habe diesen Vorhang aufgrund der Rezessionen erworben. Leider hatte die erste Lieferung Fehler im Material, welche kleine Risse an den Knickfalten hatte. Dank Amazon schnell Erstazlieferung am Folgetag erhalten. Schnell noch abends aufgehangen und fertig. Nächster morgen kurz vor dem Einstig in die Wanne dann der Schock. Das ganze Material wies lauter graue Streifen wie Stockflecken auf. Waren auch nicht abwaschbar! Die Enttäuschung war sehr groß ! Wird definitiv entsorgt und eins vor Ort besorgt, welchen ich auch nach sofortigen Fehlern überprüfen kann. Echt ärgerlich 😤 	0
148	Bettwäsche ist eigentlich gut !!! Aber die Verpackung ist bis zur Hälfte aufgerissen.. Bettwäsche ist eigentlich gut !!! Aber die Verpackung ist bis zur Hälfte aufgerissen. Das ist natürlich unangenehm und sollte eigentlich sauber Verpacht ankommen ); 	0
155	Nicht zu empfehlen. Kunststoff im Look von "matt gebürstet" ist nach kurzer Zeit braun angelaufen und somit optisch nicht akzeptabel. 	0
