ID	intent	text	domain	label
3232343533373234	IN:SET_RSVP_INTERESTED	Réponds intéressé à Une Fête Envoûtante	event	0
3232343533353036	IN:SET_RSVP_INTERESTED	Répond peut-être pour cet évènement	event	0
3232343533323330	IN:SET_RSVP_INTERESTED	Mettez mon statut comme intéressé par Brickpalooza	event	0
3232323232313135	IN:SET_RSVP_INTERESTED	Réponds peut-être à cet évènement	event	0
3232343533373236	IN:SET_RSVP_INTERESTED	répond intéressé par le troisième évènement	event	0
3232343533373139	IN:SET_RSVP_INTERESTED	Répondez peut-être au cinquième événement	event	0
3232343533363937	IN:SET_RSVP_INTERESTED	Répondez aux personnes intéressées par Moon Viewing	event	0
3232343533353337	IN:SET_RSVP_INTERESTED	Réponds «intéressé» à Open Stage NYC	event	0
3232343533343533	IN:SET_RSVP_INTERESTED	mets mon statut en intéressé pour cet évènement	event	0
3232343533323137	IN:SET_RSVP_INTERESTED	Définit mon statut comme peut-être pour cet évènement	event	0
3231323331323434	IN:GET_REMINDER_AMOUNT	Il y a combien de rappels programmés pour le 7 octobre ?	reminder	2
3231323339383031	IN:GET_REMINDER_AMOUNT	Quel est le nombre de pense-bêtes que j'ai mis en place ?	reminder	2
3231323239393833	IN:GET_REMINDER_AMOUNT	Combien de rappels sont prévus pour demain ?	reminder	2
3231323337373035	IN:GET_REMINDER_DATE_TIME	Rappelle-moi quand le numéro cinq arrive	reminder	4
3231323334393434	IN:GET_REMINDER_DATE_TIME	Quel jour est le rappel pour le dîner chez mes grands-parents ?	reminder	4
3231323334373735	IN:GET_REMINDER_DATE_TIME	C’est quand le rappel pour l’évènement caritatif ?	reminder	4
3231323334343539	IN:GET_REMINDER_DATE_TIME	Quand est prévu mon rappel pour le dentiste ?	reminder	4
3231323333353430	IN:GET_REMINDER_DATE_TIME	à quelle heure est mon rappel pour tondre la pelouse ?	reminder	4
3231323332363130	IN:GET_REMINDER_DATE_TIME	Quel est le jour de mon rappel de congés ?	reminder	4
3231323330363337	IN:GET_REMINDER_DATE_TIME	C’est pour quelle heure mon prochain rappel ?	reminder	4
3231323330323634	IN:GET_REMINDER_DATE_TIME	Dis-moi à quand est programmé le rappel pour la foire nationale	reminder	4
3138393933363236	IN:GET_EMPLOYMENT_TIME	depuis combien de temps judi est-elle chez tupperware ?	people	5
3138393933323930	IN:GET_EMPLOYMENT_TIME	Quand Dave a-t-il commencé à travailler pour la ville de Houston ?	people	5
3138393931303833	IN:GET_EMPLOYMENT_TIME	Albert travaille chez 1st National depuis combien de temps ?	people	5
3139343332393937	IN:GET_EMPLOYMENT_TIME	En quelle année Winston Churchill était-il premier ministre d’Angleterre ?	people	5
3138393933373036	IN:GET_EMPLOYMENT_TIME	Quand Marc a-t-il commencé à travailler pour American Express ?	people	5
3138393933323731	IN:GET_EMPLOYMENT_TIME	Quand John a-t-il quitté IBM ?	people	5
3138393932383138	IN:GET_EMPLOYMENT_TIME	Quand Ben a-t-il commencé à travaillé pour Subway ?	people	5
3138393932363539	IN:GET_EMPLOYMENT_TIME	Depuis combien de temps Will travaille pour Boeing	people	5
3138393932353637	IN:GET_EMPLOYMENT_TIME	Depuis combien d'années Bill travaille-t-il pour Loaf n' Jug ?	people	5
3138393932343834	IN:GET_EMPLOYMENT_TIME	Quand Alicia a-t-elle quitté son dernier emploi ?	people	5
3138393932343536	IN:GET_EMPLOYMENT_TIME	Pendant combien d’années Jim a-t-il travaillé pour Google ?	people	5
39353238333036	IN:LOOP_MUSIC	Continuez à jouer la dernière chanson jusqu'à ce que je vous dise d'arrêter.	music	6
3132353935393032	IN:LOOP_MUSIC	Jouez cette chanson pendant une heure	music	6
3139383039313938	IN:GET_CONTACT_METHOD	Alexandra Zane a besoin d'un courriel	people	7
3139383039313936	IN:GET_CONTACT_METHOD	Liste des adresses e-mail de Jane Torrison	people	7
39353637303934	IN:SKIP_TRACK_MUSIC	Je veux sauter cette chanson	music	8
39353434353938	IN:SKIP_TRACK_MUSIC	je ne veux pas entendre cette chanson, avance s'il te plaît	music	8
39353334333835	IN:SKIP_TRACK_MUSIC	SAUTE CETTE CHANSON	music	8
39343830363836	IN:SKIP_TRACK_MUSIC	Cette chanson est horrible, suivant ?	music	8
3132363231333730	IN:SKIP_TRACK_MUSIC	Passe, s’il te plaît	music	8
3132363131343335	IN:SKIP_TRACK_MUSIC	Sautez ceci s'il vous plaît	music	8
3132353835323430	IN:SKIP_TRACK_MUSIC	Mets la suivante	music	8
3132353833323831	IN:SKIP_TRACK_MUSIC	Lance la chanson suivante	music	8
3132353732383038	IN:SKIP_TRACK_MUSIC	Sautez, s'il vous plaît	music	8
39353736353233	IN:LIKE_MUSIC	J’AIME CETTE CHANSON.	music	9
39353439323739	IN:LIKE_MUSIC	Classe cette piste parmi les favoris	music	9
3132363139313739	IN:LIKE_MUSIC	Mets cette chanson dans mes favoris	music	9
3132353839323239	IN:LIKE_MUSIC	Approuve	music	9
3230303431383431	IN:GET_TRACK_INFO_MUSIC	qu’est-ce que tu me joues ?	music	10
3132363135303732	IN:GET_TRACK_INFO_MUSIC	C’était quoi cette dernière chanson	music	10
3132353932313634	IN:GET_TRACK_INFO_MUSIC	C'est quoi le nom de cette chanson ?	music	10
3132353734373433	IN:GET_TRACK_INFO_MUSIC	Comment s'appelle le groupe que l'on entend en ce moment	music	10
3132353638373939	IN:GET_TRACK_INFO_MUSIC	Qui joue cette chanson	music	10
3230303431383436	IN:GET_TRACK_INFO_MUSIC	Qu’est-ce qui passe en ce moment ?	music	10
3139393237353130	IN:GET_TRACK_INFO_MUSIC	Quelle est cette chanson qui joue sur Spotify ?	music	10
3132363133393932	IN:GET_TRACK_INFO_MUSIC	Qui chante ceci ?	music	10
3132353938383330	IN:GET_TRACK_INFO_MUSIC	Qui chante ?	music	10
3132353836383332	IN:GET_TRACK_INFO_MUSIC	Quel est le nom de cet album ?	music	10
3132353634353532	IN:GET_TRACK_INFO_MUSIC	Qui est-ce que j’écoute en ce moment ?	music	10
39353832303737	IN:GET_TRACK_INFO_MUSIC	Qui était l’artiste original de cette chanson ?	music	10
39353630383939	IN:GET_TRACK_INFO_MUSIC	C'est Beyonce qui chante ?	music	10
39353538343639	IN:GET_TRACK_INFO_MUSIC	Quelle est cette chanson ?	music	10
39353536323235	IN:GET_TRACK_INFO_MUSIC	Quel artiste interprète cette chanson ?	music	10
39353531363734	IN:GET_TRACK_INFO_MUSIC	Qui chante la chanson Hey Pretty ?	music	10
3231343030353730	IN:CREATE_REMINDER	Rappelle-moi de sortir les poubelles	reminder	11
3231343030353638	IN:CREATE_REMINDER	Rappelle-moi d'éteindre la cuisinière	reminder	11
3231343030353438	IN:CREATE_REMINDER	Rappelle-moi demain matin	reminder	11
3231343030323134	IN:CREATE_REMINDER	Programmez un rappel concernant le vol de ma femme qui arrive dans l'après-midi	reminder	11
3231333933313531	IN:CREATE_REMINDER	Merci de me rappeler de promener le chien	reminder	11
3231333932363634	IN:CREATE_REMINDER	Le rappel pour le film Alien 2 doit se déclencher à 19h30 ce soir.	reminder	11
3231323432333236	IN:CREATE_REMINDER	Rappelle-moi de faire changer l'huile dans ma voiture	reminder	11
3231323431393935	IN:CREATE_REMINDER	Rappelez-moi d'aller chercher ma fille au foot à 19h	reminder	11
3231323431393830	IN:CREATE_REMINDER	Rappelle-moi de reprogrammer le dîner quand j'arrive au travail	reminder	11
3231323431393737	IN:CREATE_REMINDER	créer un rappel pour appeler maman à 19h	reminder	11
3231323431343039	IN:CREATE_REMINDER	Rappelle-moi d'appeler mon papa ce soir	reminder	11
3231323431313032	IN:CREATE_REMINDER	Rappelle-moi d’appeler au travail dans une heure	reminder	11
3231323431303433	IN:CREATE_REMINDER	Met un rappel pour appeler maman ce soir	reminder	11
3231323430363139	IN:CREATE_REMINDER	Rappelle-moi de sortir les poubelles mardi soir.	reminder	11
3231323430313331	IN:CREATE_REMINDER	Ajoute un rappel pour aller chercher les enfants	reminder	11
3231323339393433	IN:CREATE_REMINDER	Rappelez-moi de prendre mes cachets demain matin	reminder	11
3231323339393337	IN:CREATE_REMINDER	Rappelle-moi que j'ai un rendez-vous médical le 5	reminder	11
3231323339393332	IN:CREATE_REMINDER	Rappelez-moi de prendre de la nourriture pour le chien demain.	reminder	11
3231323339393035	IN:CREATE_REMINDER	rappelle-moi le rendez-vous chez le dentiste	reminder	11
3231323339373834	IN:CREATE_REMINDER	Règle un rappel pour faire du shopping à 6h.	reminder	11
3231323339373030	IN:CREATE_REMINDER	rappelle-moi que j'ai un rendez-vous chez le dentiste une semaine avant	reminder	11
3231323339363332	IN:CREATE_REMINDER	Rappelez-moi d'éteindre les lumières	reminder	11
3231323339343634	IN:CREATE_REMINDER	Rappelle-moi de prendre mon médicament	reminder	11
3231323339303539	IN:CREATE_REMINDER	Rappelle-moi de prendre un rendez-vous de conseil	reminder	11
3231323338393132	IN:CREATE_REMINDER	Rappelle-moi d’acheter un cadeau à Jana	reminder	11
3231323338373135	IN:CREATE_REMINDER	Rappelez-moi de consulter la banque à 15h	reminder	11
3231323338363935	IN:CREATE_REMINDER	Rappelle-moi la prochaine réunion d’entreprise, s’il te plaît	reminder	11
3231323338353931	IN:CREATE_REMINDER	Rappelez-moi de nettoyer la litière	reminder	11
3231323338333635	IN:CREATE_REMINDER	rappelle-moi d’acheter un gâteau lundi	reminder	11
3231323338313138	IN:CREATE_REMINDER	Je ne veux pas oublier de colorer mes cheveux	reminder	11
