ID	intent	text	domain	label
3232323232313332	IN:SET_RSVP_INTERESTED	Auf Primatenentdeckungstag mit vielleicht antworten	event	0
3232343533363531	IN:SET_RSVP_INTERESTED	Antworte in Bezug auf das fünfte Event mit „interessiert"	event	0
3232343533353330	IN:SET_RSVP_INTERESTED	Antworte in Bezug auf Eat Drink Play Los Gatos mit „vielleicht"	event	0
3232343533343830	IN:SET_RSVP_INTERESTED	Antworte in Bezug auf das dritte Event mit „interessiert"	event	0
3232343533343035	IN:SET_RSVP_INTERESTED	Setze meinen Status für „Awakening You" auf „Interessiert"	event	0
3232343532353931	IN:SET_RSVP_INTERESTED	Setze meinen Status in Bezug auf die Hillside Bar Trivia Night auf „vielleicht"	event	0
3232343532323436	IN:SET_RSVP_INTERESTED	Antworte in Bezug auf Fast Company Innovation Festival mit „interessiert"	event	0
3232323232313135	IN:SET_RSVP_INTERESTED	Antworte  in Bezug auf dieses Event mit „vielleicht"	event	0
3231323330363032	IN:GET_REMINDER_AMOUNT	Wie viele Erinnerungen habe ich für Waxing-Termine?	reminder	2
3231323235313634	IN:GET_REMINDER_AMOUNT	Sag mir, wie viele Erinnerungen ich für nächste Woche habe.	reminder	2
3232323230313733	IN:PLAY_MEDIA	Such mir 21 Savage raus	music	3
3231323333393539	IN:GET_REMINDER_DATE_TIME	wann ist meine nächste Erinnerung für die Rottweiler-Gruppe	reminder	4
3231323333353430	IN:GET_REMINDER_DATE_TIME	Für wann ist meine Erinnerung zum Rasenmähen eingestellt?	reminder	4
3231323333323539	IN:GET_REMINDER_DATE_TIME	Ist die Weckzeit für meine Erinnerung an den Brunch auf eine Stunde vorher eingestellt?	reminder	4
3231323332393835	IN:GET_REMINDER_DATE_TIME	Auf wie viel Uhr ist die Erinnerung an Jims Pensionierungsparty gesetzt?	reminder	4
3231323237353738	IN:GET_REMINDER_DATE_TIME	Lass mich wissen, für wann die Erinnerung für das Arbeitstreffen eingestellt ist	reminder	4
3231323236393031	IN:GET_REMINDER_DATE_TIME	An welchem Tag habe ich eine Erinnerung, zur Yogastunde zu gehen?	reminder	4
3231323234393233	IN:GET_REMINDER_DATE_TIME	Wann ist meine Erinnerung an das Äpfelpflücken?	reminder	4
3138393932373930	IN:GET_EMPLOYMENT_TIME	Wie lange ist Cindy schon bei ihrem aktuellen Arbeitgeber angestellt?	people	5
3138393932363532	IN:GET_EMPLOYMENT_TIME	Wann hat Maryanne angefangen, für die Schule zu arbeiten?	people	5
3138393932353236	IN:GET_EMPLOYMENT_TIME	Wie lange arbeitet Jackie schon für Viaero?	people	5
3138393932313837	IN:GET_EMPLOYMENT_TIME	Wann hat Bill angefangen, bei der Polizei zu arbeiten?	people	5
3138393931343631	IN:GET_EMPLOYMENT_TIME	Wie lange hat Sue bei wctc gearbeitet	people	5
3138393931333731	IN:GET_EMPLOYMENT_TIME	Wie lange arbeitet Tonya schon für Google?	people	5
3138393931323934	IN:GET_EMPLOYMENT_TIME	Wie lange hat Lance für Novak gearbeitet?	people	5
3138393931323339	IN:GET_EMPLOYMENT_TIME	Wann hat Sam aufgehört, bei Facebook zu arbeiten?	people	5
3138393931313337	IN:GET_EMPLOYMENT_TIME	Hat Jen vor 2 Jahren an der Lincoln-Schule gearbeitet?	people	5
3138393931303839	IN:GET_EMPLOYMENT_TIME	Wie lange hat Lily schon ihren aktuellen Job?	people	5
39353238333036	IN:LOOP_MUSIC	Spiel das letzte Lied so lange, bis ich dir sage, dass du aufhören sollst.	music	6
39343734383837	IN:LOOP_MUSIC	Spiel das aktuelle LIed in Dauerschleife.	music	6
3139383039323130	IN:GET_CONTACT_METHOD	Ich brauche den Benutzernamen von Cory Brumfield bei Twitch	people	7
39343835343237	IN:SKIP_TRACK_MUSIC	bitte leite diesen Titel weiter	music	8
39343639303934	IN:SKIP_TRACK_MUSIC	Spiel das nächste Lied auf dem Album ab	music	8
3132353834323132	IN:SKIP_TRACK_MUSIC	Gehe zu Track 3 bitte	music	8
39353637303934	IN:SKIP_TRACK_MUSIC	Ich möchte dieses Lied überspringen	music	8
39353334333835	IN:SKIP_TRACK_MUSIC	ÜBERSPRINGE DIESES LIED	music	8
39343935313837	IN:SKIP_TRACK_MUSIC	Überspring die nächsten drei Lieder.	music	8
39343935303139	IN:SKIP_TRACK_MUSIC	Spring zum nächsten Song im Album	music	8
39343734303838	IN:SKIP_TRACK_MUSIC	Dieses Lied anhalten und das nächste spielen	music	8
39343733393832	IN:SKIP_TRACK_MUSIC	Kannst du dieses Lied überspringen?	music	8
39353636373430	IN:LIKE_MUSIC	Ich liebe dieses Lied!	music	9
39343934343232	IN:GET_TRACK_INFO_MUSIC	Welcher Künstler singt dieses Lied	music	10
39343835383834	IN:GET_TRACK_INFO_MUSIC	Von wem ist dieses Lied?	music	10
39343830313932	IN:GET_TRACK_INFO_MUSIC	Welcher Interpret wird gerade gespielt?	music	10
39343736313435	IN:GET_TRACK_INFO_MUSIC	Auf welchem Album würde ich diese Lied finden	music	10
39343639363937	IN:GET_TRACK_INFO_MUSIC	Welches Lied läuft gerade?	music	10
39343636303530	IN:GET_TRACK_INFO_MUSIC	Wie lange ist das Lied, das gerade abgespielt wird?	music	10
3132363138343330	IN:GET_TRACK_INFO_MUSIC	Wie heißt dieses Album?	music	10
3132363133383634	IN:GET_TRACK_INFO_MUSIC	Von wem ist das?	music	10
3132353734373433	IN:GET_TRACK_INFO_MUSIC	Wie heißt die Band, die gerade spielt?	music	10
39353738383934	IN:GET_TRACK_INFO_MUSIC	Name des Albums	music	10
39353330383132	IN:GET_TRACK_INFO_MUSIC	Wer hat die letzten beiden Lieder gesungen?	music	10
39353231313636	IN:GET_TRACK_INFO_MUSIC	Wer singt das?	music	10
39353139353536	IN:GET_TRACK_INFO_MUSIC	Welches Stück ist das?	music	10
39343933373830	IN:GET_TRACK_INFO_MUSIC	Wer hat den aktuellen Song gesungen?	music	10
3231313434383534	IN:CREATE_REMINDER	Erinner mich daran, am Samstag ein Geschenk für Ann zu kaufen.	reminder	11
3231313434383439	IN:CREATE_REMINDER	Erinnere mich daran, Larry am Montag um 20 Uhr Central Time anzurufen.	reminder	11
