1000022,0
1000033,0
1000046,0
1000061,0
1000079,0
1000090,0
1000100,0
1000108,0
1000147,0
1000160,0
1000167,0
1000196,0
1000207,0
1000213,0
1000242,0
1000257,0
1000267,0
1000271,0
1000285,0
1000300,0
1000308,0
1000321,0
1000338,0
1000366,0
1000382,0
1040003,0
1040019,0
1040020,0
1040047,0
1040048,0
1040107,0
1040112,0
1040152,0
1040163,0
1040169,0
1040208,0
1040238,0
1040290,0
1040320,0
1040327,0
1040340,0
1040350,0
1040374,0
1040399,0
1040416,0
1040438,0
1040454,0
1040461,0
1040469,0
1040494,0
1120000,1
1120008,1
1120013,1
1120016,1
1120022,1
1120036,1
1120045,1
1120084,1
1120095,1
1120110,1
1120131,1
1120134,1
1120138,1
1120157,1
1120174,1
1120186,1
1120196,1
1120216,1
1120240,1
1120246,1
1120261,1
1120306,1
1120329,1
1120332,1
1120345,1
1160020,1
1160036,1
1160106,1
1160108,1
1160113,1
1160177,1
1160189,1
1160191,1
1160210,1
1160235,1
1160253,1
1160262,1
1160270,1
1160272,1
1160278,1
1160279,1
1160319,1
1160340,1
1160368,1
1160380,1
1160388,1
1160407,1
1160417,1
1160431,1
1160432,1
